Date,Open,High,Low,Close,Volume
06/20/2024,"3.66","3.68","3.57","3.66","2,191,423"
06/18/2024,"3.78","3.78","3.60","3.68","2,230,401"
06/17/2024,"3.88","3.88","3.73","3.74","2,048,105"
06/14/2024,"4.01","4.02","3.82","3.88","2,579,559"
06/13/2024,"4.11","4.14","4.00","4.03","2,027,763"
06/12/2024,"4.25","4.31","4.13","4.16","3,028,325"
06/11/2024,"4.30","4.37","4.13","4.15","3,081,287"
06/10/2024,"4.52","4.66","4.33","4.39","3,114,274"
06/07/2024,"4.49","4.60","4.44","4.49","1,699,737"
06/06/2024,"4.72","4.73","4.44","4.49","2,972,500"
06/05/2024,"4.88","4.88","4.65","4.71","2,833,619"
06/04/2024,"4.95","4.95","4.81","4.90","1,554,193"
06/03/2024,"5.06","5.09","4.87","4.94","1,354,314"
05/31/2024,"5.06","5.14","4.98","5.01","1,206,089"
05/30/2024,"5.09","5.30","5.00","5.04","1,530,733"
05/29/2024,"5.05","5.05","4.85","5.02","1,709,097"
05/28/2024,"5.13","5.27","5.07","5.12","1,237,800"
05/24/2024,"5.00","5.17","4.95","5.13","1,303,291"
05/23/2024,"5.05","5.08","4.87","4.96","2,139,663"
05/22/2024,"5.05","5.21","5.02","5.06","1,532,741"
05/21/2024,"5.18","5.20","5.01","5.12","1,820,099"
05/20/2024,"5.15","5.25","5.03","5.19","1,746,195"
05/17/2024,"5.25","5.27","5.10","5.14","1,474,882"
05/16/2024,"5.29","5.40","5.20","5.31","1,359,913"
05/15/2024,"5.64","5.68","5.16","5.21","2,949,407"
05/14/2024,"5.70","5.95","5.65","5.70","4,044,075"
05/13/2024,"5.91","6.16","5.87","6.07","2,399,485"
05/10/2024,"6.06","6.11","5.76","5.77","1,461,814"
05/09/2024,"5.82","6.10","5.73","6.07","2,252,718"
05/08/2024,"5.76","5.89","5.65","5.86","2,140,059"
05/07/2024,"5.61","5.94","5.51","5.76","2,056,770"
05/06/2024,"5.50","5.83","5.50","5.57","2,067,217"
