date,trump_percentage,kamala_percentage
7/29/24,46.05714285714286,45.90714285714286
7/3/24,43.733333333333334,42.0
7/30/24,46.1,47.1
7/31/24,45.0,46.6
7/6/23,41.57142857142857,37.5
7/6/24,41.5,42.0
7/8/24,46.25,39.9
7/9/22,39.75,36.0
7/9/24,44.839999999999996,44.0
8/1/22,41.5,43.5
8/1/24,44.53333333333333,48.46666666666667
8/10/24,44.5,48.5
8/11/24,43.75454545454546,46.57727272727273
8/12/24,46.81428571428571,46.542857142857144
8/13/24,45.58888888888889,48.077777777777776
8/14/24,46.596000000000004,46.872
8/15/24,44.5125,46.73870967741936
8/16/24,45.805263157894736,47.87105263157895
8/17/22,40.12,35.5
8/17/24,43.25,48.5
8/18/24,43.142857142857146,46.714285714285715
8/19/24,39.66428571428571,56.16428571428571
8/2/24,45.6,47.1
8/20/24,43.925,49.175
8/21/24,43.980000000000004,47.28666666666666
8/22/24,46.76190476190476,47.31904761904762
8/23/23,44.0,40.0
8/23/24,44.51904761904762,46.97894736842105
8/24/22,47.43333333333334,43.0
8/24/24,45.0,50.0
8/25/24,46.03,48.56666666666667
8/26/24,45.583333333333336,48.53191489361702
8/27/24,47.421052631578945,47.36842105263158
8/28/22,38.75,38.5
8/28/24,44.61891891891892,47.21315789473684
8/29/24,47.78947368421053,46.72631578947368
8/3/21,49.0,46.0
8/3/24,43.86666666666667,44.2
8/30/24,44.4125,48.2125
8/31/24,49.38076923076923,46.26153846153846
8/4/24,46.0,48.4
8/5/24,44.35,45.6875
8/6/23,40.4,35.5
8/6/24,48.199999999999996,45.5
8/7/24,45.075,47.5375
8/8/24,46.172413793103445,46.65172413793104
8/9/24,47.22222222222222,43.0
9/1/24,47.5,46.355555555555554
9/10/24,46.8,48.7
9/11/24,45.857142857142854,47.57142857142857
9/12/24,46.49375,47.1
9/13/24,45.632,48.824
9/14/21,49.5,47.0
9/14/23,42.0,41.0
9/14/24,45.12,49.72
9/15/22,39.64,38.0
9/15/24,43.76666666666667,48.199999999999996
9/16/24,46.25152777777778,49.73084507042253
9/17/24,45.56111111111111,50.43888888888889
9/18/21,49.05,50.05
9/18/22,47.94,42.4
9/18/24,45.44975,50.1375
9/19/24,46.480000000000004,47.835
9/2/24,47.699999999999996,48.13333333333333
9/20/24,48.27272727272727,47.63636363636363
9/21/24,46.13333333333333,46.93333333333333
9/22/21,51.5,39.0
9/22/22,49.699999999999996,42.0
9/22/24,44.83111111111111,47.17888888888889
9/23/24,43.5,52.1875
9/24/24,48.37647058823529,48.99714285714286
9/25/24,46.68205128205128,49.050000000000004
9/26/23,43.0,41.0
9/26/24,46.49677419354839,47.57741935483871
9/27/24,48.857142857142854,47.57142857142857
9/28/24,47.957142857142856,48.08571428571429
9/29/24,47.733333333333334,47.416666666666664
9/3/24,47.58571428571429,48.028571428571425
9/30/24,49.30769230769231,47.03076923076923
9/4/24,42.7,46.0375
9/5/24,47.00952380952381,49.11428571428572
9/6/24,45.93157894736842,46.96842105263158
9/7/24,46.0,49.0
9/8/22,41.9,40.5
9/8/24,44.714285714285715,49.1275
9/9/24,45.36842105263158,47.37894736842105
