date,trump_percentage,kamala_percentage,trump_sma_7,kamala_sma_7,trump_ema_7,kamala_ema_7,trump_linear_trend,kamala_linear_trend,trump_polynomial_trend,kamala_polynomial_trend
2021-05-18,49.0,45.0,,,49.0,45.0,43.24536626398276,37.517217582370904,48.71724665444344,45.978512953966856
2021-06-20,49.0,45.0,,,49.0,45.0,43.30878167524179,37.7543554646345,48.127017023041844,45.2049043700099
2021-06-22,40.0,46.0,,,46.75,45.25,43.3126250334999,37.768727457498244,48.09218400530517,45.159470185637474
2021-08-03,49.0,46.0,,,47.3125,45.4375,43.39333555692042,38.070539307652325,47.385466353967786,44.2436636146158
2021-09-14,49.5,47.0,,,47.859375,45.828125,43.47404608034117,38.3723511578055,46.72604782320559,43.40099676698446
2021-09-18,49.05,50.05,,,48.15703125,46.88359375,43.481732796857386,38.4010951435348,46.665712906979024,43.324557326734066
2021-09-22,51.5,39.0,48.15,45.43571428571429,48.992773437500006,44.912695312500006,43.489419513373605,38.42983912926411,46.6058070063591,43.248781284317374
2021-10-18,49.0,46.0,48.15,45.57857142857143,48.994580078125004,45.184521484375004,43.53938317072925,38.616675036501874,46.22687594406307,42.77240735292435
2021-10-28,46.0,40.0,47.721428571428575,44.864285714285714,48.24593505859375,43.88839111328125,43.5585999620198,38.68853500082423,46.085959668271244,42.596649846062064
2021-11-15,41.5,33.0,47.93571428571429,43.00714285714286,46.559451293945315,41.16629333496094,43.59319018634278,38.81788293660429,45.839067390188575,42.290734868496656
2021-11-16,50.57142857142857,42.0,48.16020408163265,42.43571428571429,47.56244561331613,41.37472000122071,43.59511186547206,38.825068933036164,45.825605881400406,42.274133486673236
2021-12-02,48.666666666666664,41.5,48.041156462585036,41.65,47.83850087665376,41.40604000091553,43.62585873153694,38.94004487595157,45.61386838462204,42.01415024138987
2021-12-05,39.0,36.5,46.605442176870746,39.714285714285715,45.62887565749032,40.17953000068665,43.6316237689241,38.961602865249006,45.57493178918958,41.96658506244421
2021-12-12,47.75,46.0,46.06972789115646,40.714285714285715,46.15915674311774,41.63464750051499,43.64507552282748,39.01190484027393,45.48501821048558,41.85705083049834
2022-01-09,39.75,39.0,44.74829931972789,39.714285714285715,44.55686755733831,40.975985625386244,43.69888253844124,39.213112740376346,45.138502539135516,41.43923049047589
2022-01-18,50.333333333333336,40.0,45.367346938775505,39.714285714285715,46.000984001337066,40.73198921903968,43.71617765060273,39.27778670826683,45.0315869608894,41.31183458864689
2022-01-20,47.5,39.0,46.224489795918366,40.57142857142857,46.3757380010028,40.29899191427976,43.72002100886107,39.292158701131484,45.00812289305031,41.283980475738645
2022-02-06,40.0,38.0,44.714285714285715,40.0,44.781803500752105,39.72424393570982,43.752689554054996,39.41432064047876,44.81300870142877,41.053916692733765
2022-02-09,44.0,46.0,44.047619047619044,40.642857142857146,44.586352625564075,41.29318295178237,43.75845459144216,39.4358786297762,44.77938119135797,41.01456107571721
2022-02-22,50.125,43.0,45.63690476190476,41.57142857142857,45.971014469173056,41.71988721383678,43.7834364201201,39.52929658339508,44.63645059522241,40.84833215735853
2022-02-23,37.2,38.0,44.1297619047619,40.42857142857143,43.77826085187979,40.78991541037758,43.78535809924915,39.53648257982695,44.625643628649414,40.83583555370569
2022-02-24,46.55666666666667,40.0,45.10214285714285,40.57142857142857,44.47286230557651,40.59243655778319,43.787279778378206,39.543668576258824,44.61486347578466,40.823380414396524
2022-03-08,42.18,34.5,43.937380952380956,39.785714285714285,43.899646729182386,39.069327418337394,43.81033992792686,39.629900533445834,44.48759309947491,40.677152797579765
2022-03-09,45.666666666666664,43.0,43.675476190476196,40.357142857142854,44.34140171355345,40.051995563753046,43.812261607055916,39.637086529878616,44.4771615229547,40.66523666866124
2022-03-20,40.18,37.0,43.70119047619048,40.214285714285715,43.30105128516509,39.28899667281478,43.83340007747552,39.716132490632845,44.36418387759477,40.53689577244222
2022-03-22,50.0,42.0,44.55833333333334,39.642857142857146,44.97578846387381,39.966747504611085,43.837243435733626,39.7305044834975,44.34399106260389,40.514100074768066
2022-03-24,44.275,39.0,43.72261904761905,39.07142857142857,44.80059134790536,39.725060628458316,43.841086793991735,39.74487647636124,44.32390550337732,40.491470227018
2022-04-03,40.5,33.5,44.19404761904762,38.42857142857143,43.72544351092902,38.168795471343735,43.86030358528251,39.8167364406836,44.22508651856333,40.38080873712897
2022-04-18,44.0,39.0,43.828809523809525,38.285714285714285,43.794082633196766,38.3765966035078,43.88912877221833,39.924526387167134,44.08188558369875,40.22259070724249
2022-04-20,45.25,43.0,44.267380952380954,39.5,44.15806197489758,39.53244745263085,43.89297213047644,39.93889838003179,44.06324795540422,40.20219983160496
2022-04-21,46.0,41.5,44.315,39.285714285714285,44.61854648117318,40.02433558947314,43.89489380960549,39.94608437646366,44.05396936181933,40.192066587507725
2022-04-26,48.480000000000004,41.0,45.50071428571429,39.857142857142854,45.583909860879885,40.268251692104855,43.904502205250765,39.98201435862484,44.00797859951854,40.142022302374244
2022-04-27,46.0,49.0,44.92928571428571,40.857142857142854,45.687932395659914,42.45118876907864,43.90642388438005,39.98920035505762,43.998860887251794,40.13213783316314
2022-05-01,39.75,37.5,44.28285714285715,40.642857142857146,44.203449296744935,41.21339157680898,43.914110600896265,40.017944340786016,43.96265817433596,40.093014577403665
2022-05-17,39.75,35.0,44.175714285714285,40.857142857142854,43.0900869725587,39.660043682606734,43.94485746696114,40.13292028370233,43.822137493640184,39.943155547603965
